feature,modality,family,description
sleep__bedtime_cos__p90,sleep,physiology,bedtime_cos; across days p90
sleep__bedtime_cos__missing_fraction,sleep,quality,bedtime_cos; daily missing fraction
sleep__wake_sin__median,sleep,physiology,wake_sin; across days median
sleep__wake_sin__iqr,sleep,physiology,wake_sin; across days iqr
sleep__wake_sin__p10,sleep,physiology,wake_sin; across days p10
sleep__wake_sin__p90,sleep,physiology,wake_sin; across days p90
sleep__wake_sin__missing_fraction,sleep,quality,wake_sin; daily missing fraction
sleep__wake_cos__median,sleep,physiology,wake_cos; across days median
sleep__wake_cos__iqr,sleep,physiology,wake_cos; across days iqr
sleep__wake_cos__p10,sleep,physiology,wake_cos; across days p10
sleep__wake_cos__p90,sleep,physiology,wake_cos; across days p90
sleep__wake_cos__missing_fraction,sleep,quality,wake_cos; daily missing fraction
sleep__quality_n_days,sleep,quality,n_days
sleep__quality_span_days,sleep,quality,span_days
sleep__quality_coverage,sleep,quality,coverage
sleep__total__day_rmssd,sleep,physiology,sleep__total; day_rmssd
sleep__total__trend_per_day,sleep,physiology,sleep__total; trend_per_day
sleep__total__consecutive_lag1,sleep,physiology,sleep__total; consecutive_lag1
sleep__efficiency__day_rmssd,sleep,physiology,sleep__efficiency; day_rmssd
sleep__efficiency__trend_per_day,sleep,physiology,sleep__efficiency; trend_per_day
sleep__efficiency__consecutive_lag1,sleep,physiology,sleep__efficiency; consecutive_lag1
sleep__hr_average__day_rmssd,sleep,physiology,sleep__hr_average; day_rmssd
sleep__hr_average__trend_per_day,sleep,physiology,sleep__hr_average; trend_per_day
sleep__hr_average__consecutive_lag1,sleep,physiology,sleep__hr_average; consecutive_lag1
sleep__rmssd__day_rmssd,sleep,physiology,sleep__rmssd; day_rmssd
sleep__rmssd__trend_per_day,sleep,physiology,sleep__rmssd; trend_per_day
sleep__rmssd__consecutive_lag1,sleep,physiology,sleep__rmssd; consecutive_lag1
sleep__awake_fraction__day_rmssd,sleep,physiology,sleep__awake_fraction; day_rmssd
sleep__awake_fraction__trend_per_day,sleep,physiology,sleep__awake_fraction; trend_per_day
sleep__awake_fraction__consecutive_lag1,sleep,physiology,sleep__awake_fraction; consecutive_lag1
sleep__deep_fraction__day_rmssd,sleep,physiology,sleep__deep_fraction; day_rmssd
sleep__deep_fraction__trend_per_day,sleep,physiology,sleep__deep_fraction; trend_per_day
sleep__deep_fraction__consecutive_lag1,sleep,physiology,sleep__deep_fraction; consecutive_lag1
sleep__rem_fraction__day_rmssd,sleep,physiology,sleep__rem_fraction; day_rmssd
sleep__rem_fraction__trend_per_day,sleep,physiology,sleep__rem_fraction; trend_per_day
sleep__rem_fraction__consecutive_lag1,sleep,physiology,sleep__rem_fraction; consecutive_lag1
sleep__bedtime_regularity,sleep,physiology,시각 원형 resultant length: 1에 가까울수록 규칙적
sleep__wake_regularity,sleep,physiology,시각 원형 resultant length: 1에 가까울수록 규칙적
coupling__same_wake_day_n_pairs,coupling,quality,same_wake_day paired days
coupling__same_wake_day__steps__total_corr,coupling,physiology,"activity__steps vs sleep__total; same_wake_day; Pearson r, min 7 paired days"
coupling__same_wake_day__steps__efficiency_corr,coupling,physiology,"activity__steps vs sleep__efficiency; same_wake_day; Pearson r, min 7 paired days"
coupling__same_wake_day__average_met__rmssd_corr,coupling,physiology,"activity__average_met vs sleep__rmssd; same_wake_day; Pearson r, min 7 paired days"
coupling__same_wake_day__inactive__awake_fraction_corr,coupling,physiology,"activity__inactive vs sleep__awake_fraction; same_wake_day; Pearson r, min 7 paired days"
coupling__next_wake_day_n_pairs,coupling,quality,next_wake_day paired days
coupling__next_wake_day__steps__total_corr,coupling,physiology,"activity__steps vs sleep__total; next_wake_day; Pearson r, min 7 paired days"
coupling__next_wake_day__steps__efficiency_corr,coupling,physiology,"activity__steps vs sleep__efficiency; next_wake_day; Pearson r, min 7 paired days"
coupling__next_wake_day__average_met__rmssd_corr,coupling,physiology,"activity__average_met vs sleep__rmssd; next_wake_day; Pearson r, min 7 paired days"
coupling__next_wake_day__inactive__awake_fraction_corr,coupling,physiology,"activity__inactive vs sleep__awake_fraction; next_wake_day; Pearson r, min 7 paired days"
activity__average_met__extra_mean,activity,physiology,activity__average_met: within-person mean
activity__average_met__extra_std,activity,physiology,activity__average_met: within-person std
activity__average_met__extra_mad,activity,physiology,activity__average_met: within-person mad
activity__average_met__extra_cv,activity,physiology,activity__average_met: within-person cv
activity__average_met__extra_weekend_delta,activity,physiology,activity__average_met: within-person weekend_delta
activity__cal_active__extra_mean,activity,physiology,activity__cal_active: within-person mean
activity__cal_active__extra_std,activity,physiology,activity__cal_active: within-person std
activity__cal_active__extra_mad,activity,physiology,activity__cal_active: within-person mad
activity__cal_active__extra_cv,activity,physiology,activity__cal_active: within-person cv
activity__cal_active__extra_weekend_delta,activity,physiology,activity__cal_active: within-person weekend_delta
activity__cal_total__extra_mean,activity,physiology,activity__cal_total: within-person mean
activity__cal_total__extra_std,activity,physiology,activity__cal_total: within-person std
activity__cal_total__extra_mad,activity,physiology,activity__cal_total: within-person mad
activity__cal_total__extra_cv,activity,physiology,activity__cal_total: within-person cv
activity__cal_total__extra_weekend_delta,activity,physiology,activity__cal_total: within-person weekend_delta
activity__daily_movement__extra_mean,activity,physiology,activity__daily_movement: within-person mean
activity__daily_movement__extra_std,activity,physiology,activity__daily_movement: within-person std
activity__daily_movement__extra_mad,activity,physiology,activity__daily_movement: within-person mad
activity__daily_movement__extra_cv,activity,physiology,activity__daily_movement: within-person cv
activity__daily_movement__extra_weekend_delta,activity,physiology,activity__daily_movement: within-person weekend_delta
activity__high__extra_mean,activity,physiology,activity__high: within-person mean
activity__high__extra_std,activity,physiology,activity__high: within-person std
activity__high__extra_mad,activity,physiology,activity__high: within-person mad
activity__high__extra_cv,activity,physiology,activity__high: within-person cv
activity__high__extra_weekend_delta,activity,physiology,activity__high: within-person weekend_delta
activity__inactive__extra_mean,activity,physiology,activity__inactive: within-person mean
activity__inactive__extra_std,activity,physiology,activity__inactive: within-person std
activity__inactive__extra_mad,activity,physiology,activity__inactive: within-person mad
activity__inactive__extra_cv,activity,physiology,activity__inactive: within-person cv
activity__inactive__extra_weekend_delta,activity,physiology,activity__inactive: within-person weekend_delta
activity__inactivity_alerts__extra_mean,activity,physiology,activity__inactivity_alerts: within-person mean
activity__inactivity_alerts__extra_std,activity,physiology,activity__inactivity_alerts: within-person std
activity__inactivity_alerts__extra_mad,activity,physiology,activity__inactivity_alerts: within-person mad
activity__inactivity_alerts__extra_cv,activity,physiology,activity__inactivity_alerts: within-person cv
activity__inactivity_alerts__extra_weekend_delta,activity,physiology,activity__inactivity_alerts: within-person weekend_delta
activity__low__extra_mean,activity,physiology,activity__low: within-person mean
activity__low__extra_std,activity,physiology,activity__low: within-person std
activity__low__extra_mad,activity,physiology,activity__low: within-person mad
activity__low__extra_cv,activity,physiology,activity__low: within-person cv
activity__low__extra_weekend_delta,activity,physiology,activity__low: within-person weekend_delta
activity__medium__extra_mean,activity,physiology,activity__medium: within-person mean
activity__medium__extra_std,activity,physiology,activity__medium: within-person std
activity__medium__extra_mad,activity,physiology,activity__medium: within-person mad
activity__medium__extra_cv,activity,physiology,activity__medium: within-person cv
activity__medium__extra_weekend_delta,activity,physiology,activity__medium: within-person weekend_delta
activity__met_min_high__extra_mean,activity,physiology,activity__met_min_high: within-person mean
activity__met_min_high__extra_std,activity,physiology,activity__met_min_high: within-person std
activity__met_min_high__extra_mad,activity,physiology,activity__met_min_high: within-person mad
activity__met_min_high__extra_cv,activity,physiology,activity__met_min_high: within-person cv
activity__met_min_high__extra_weekend_delta,activity,physiology,activity__met_min_high: within-person weekend_delta
activity__met_min_inactive__extra_mean,activity,physiology,activity__met_min_inactive: within-person mean
activity__met_min_inactive__extra_std,activity,physiology,activity__met_min_inactive: within-person std
activity__met_min_inactive__extra_mad,activity,physiology,activity__met_min_inactive: within-person mad
activity__met_min_inactive__extra_cv,activity,physiology,activity__met_min_inactive: within-person cv
activity__met_min_inactive__extra_weekend_delta,activity,physiology,activity__met_min_inactive: within-person weekend_delta
activity__met_min_low__extra_mean,activity,physiology,activity__met_min_low: within-person mean
activity__met_min_low__extra_std,activity,physiology,activity__met_min_low: within-person std
activity__met_min_low__extra_mad,activity,physiology,activity__met_min_low: within-person mad
activity__met_min_low__extra_cv,activity,physiology,activity__met_min_low: within-person cv
activity__met_min_low__extra_weekend_delta,activity,physiology,activity__met_min_low: within-person weekend_delta
activity__met_min_medium__extra_mean,activity,physiology,activity__met_min_medium: within-person mean
activity__met_min_medium__extra_std,activity,physiology,activity__met_min_medium: within-person std
activity__met_min_medium__extra_mad,activity,physiology,activity__met_min_medium: within-person mad
activity__met_min_medium__extra_cv,activity,physiology,activity__met_min_medium: within-person cv
activity__met_min_medium__extra_weekend_delta,activity,physiology,activity__met_min_medium: within-person weekend_delta
activity__non_wear__extra_mean,activity,quality,activity__non_wear: within-person mean
activity__non_wear__extra_std,activity,quality,activity__non_wear: within-person std
activity__non_wear__extra_mad,activity,quality,activity__non_wear: within-person mad
activity__non_wear__extra_cv,activity,quality,activity__non_wear: within-person cv
activity__non_wear__extra_weekend_delta,activity,quality,activity__non_wear: within-person weekend_delta
activity__rest__extra_mean,activity,physiology,activity__rest: within-person mean
activity__rest__extra_std,activity,physiology,activity__rest: within-person std
activity__rest__extra_mad,activity,physiology,activity__rest: within-person mad
activity__rest__extra_cv,activity,physiology,activity__rest: within-person cv
activity__rest__extra_weekend_delta,activity,physiology,activity__rest: within-person weekend_delta
activity__score__extra_mean,activity,vendor,activity__score: within-person mean
activity__score__extra_std,activity,vendor,activity__score: within-person std
activity__score__extra_mad,activity,vendor,activity__score: within-person mad
activity__score__extra_cv,activity,vendor,activity__score: within-person cv
activity__score__extra_weekend_delta,activity,vendor,activity__score: within-person weekend_delta
activity__score_meet_daily_targets__extra_mean,activity,vendor,activity__score_meet_daily_targets: within-person mean
activity__score_meet_daily_targets__extra_std,activity,vendor,activity__score_meet_daily_targets: within-person std
activity__score_meet_daily_targets__extra_mad,activity,vendor,activity__score_meet_daily_targets: within-person mad
activity__score_meet_daily_targets__extra_cv,activity,vendor,activity__score_meet_daily_targets: within-person cv
activity__score_meet_daily_targets__extra_weekend_delta,activity,vendor,activity__score_meet_daily_targets: within-person weekend_delta
activity__score_move_every_hour__extra_mean,activity,vendor,activity__score_move_every_hour: within-person mean
activity__score_move_every_hour__extra_std,activity,vendor,activity__score_move_every_hour: within-person std
activity__score_move_every_hour__extra_mad,activity,vendor,activity__score_move_every_hour: within-person mad
activity__score_move_every_hour__extra_cv,activity,vendor,activity__score_move_every_hour: within-person cv
activity__score_move_every_hour__extra_weekend_delta,activity,vendor,activity__score_move_every_hour: within-person weekend_delta
activity__score_recovery_time__extra_mean,activity,vendor,activity__score_recovery_time: within-person mean
activity__score_recovery_time__extra_std,activity,vendor,activity__score_recovery_time: within-person std
activity__score_recovery_time__extra_mad,activity,vendor,activity__score_recovery_time: within-person mad
activity__score_recovery_time__extra_cv,activity,vendor,activity__score_recovery_time: within-person cv
activity__score_recovery_time__extra_weekend_delta,activity,vendor,activity__score_recovery_time: within-person weekend_delta
activity__score_stay_active__extra_mean,activity,vendor,activity__score_stay_active: within-person mean
activity__score_stay_active__extra_std,activity,vendor,activity__score_stay_active: within-person std
activity__score_stay_active__extra_mad,activity,vendor,activity__score_stay_active: within-person mad
activity__score_stay_active__extra_cv,activity,vendor,activity__score_stay_active: within-person cv
activity__score_stay_active__extra_weekend_delta,activity,vendor,activity__score_stay_active: within-person weekend_delta
activity__score_training_frequency__extra_mean,activity,vendor,activity__score_training_frequency: within-person mean
activity__score_training_frequency__extra_std,activity,vendor,activity__score_training_frequency: within-person std
activity__score_training_frequency__extra_mad,activity,vendor,activity__score_training_frequency: within-person mad
activity__score_training_frequency__extra_cv,activity,vendor,activity__score_training_frequency: within-person cv
activity__score_training_frequency__extra_weekend_delta,activity,vendor,activity__score_training_frequency: within-person weekend_delta
activity__score_training_volume__extra_mean,activity,vendor,activity__score_training_volume: within-person mean
activity__score_training_volume__extra_std,activity,vendor,activity__score_training_volume: within-person std
activity__score_training_volume__extra_mad,activity,vendor,activity__score_training_volume: within-person mad
activity__score_training_volume__extra_cv,activity,vendor,activity__score_training_volume: within-person cv
activity__score_training_volume__extra_weekend_delta,activity,vendor,activity__score_training_volume: within-person weekend_delta
activity__steps__extra_mean,activity,physiology,activity__steps: within-person mean
activity__steps__extra_std,activity,physiology,activity__steps: within-person std
activity__steps__extra_mad,activity,physiology,activity__steps: within-person mad
activity__steps__extra_cv,activity,physiology,activity__steps: within-person cv
activity__steps__extra_weekend_delta,activity,physiology,activity__steps: within-person weekend_delta
activity__total__extra_mean,activity,physiology,activity__total: within-person mean
activity__total__extra_std,activity,physiology,activity__total: within-person std
activity__total__extra_mad,activity,physiology,activity__total: within-person mad
activity__total__extra_cv,activity,physiology,activity__total: within-person cv
activity__total__extra_weekend_delta,activity,physiology,activity__total: within-person weekend_delta
activity__state_code_0_fraction__extra_mean,activity,physiology,activity__state_code_0_fraction: within-person mean
activity__state_code_0_fraction__extra_std,activity,physiology,activity__state_code_0_fraction: within-person std
activity__state_code_0_fraction__extra_mad,activity,physiology,activity__state_code_0_fraction: within-person mad
activity__state_code_0_fraction__extra_cv,activity,physiology,activity__state_code_0_fraction: within-person cv
activity__state_code_0_fraction__extra_weekend_delta,activity,physiology,activity__state_code_0_fraction: within-person weekend_delta
activity__state_code_0_longest_minutes__extra_mean,activity,physiology,activity__state_code_0_longest_minutes: within-person mean
activity__state_code_0_longest_minutes__extra_std,activity,physiology,activity__state_code_0_longest_minutes: within-person std
activity__state_code_0_longest_minutes__extra_mad,activity,physiology,activity__state_code_0_longest_minutes: within-person mad
activity__state_code_0_longest_minutes__extra_cv,activity,physiology,activity__state_code_0_longest_minutes: within-person cv
activity__state_code_0_longest_minutes__extra_weekend_delta,activity,physiology,activity__state_code_0_longest_minutes: within-person weekend_delta
activity__state_code_1_fraction__extra_mean,activity,physiology,activity__state_code_1_fraction: within-person mean
activity__state_code_1_fraction__extra_std,activity,physiology,activity__state_code_1_fraction: within-person std
activity__state_code_1_fraction__extra_mad,activity,physiology,activity__state_code_1_fraction: within-person mad
activity__state_code_1_fraction__extra_cv,activity,physiology,activity__state_code_1_fraction: within-person cv
activity__state_code_1_fraction__extra_weekend_delta,activity,physiology,activity__state_code_1_fraction: within-person weekend_delta
activity__state_code_1_longest_minutes__extra_mean,activity,physiology,activity__state_code_1_longest_minutes: within-person mean
activity__state_code_1_longest_minutes__extra_std,activity,physiology,activity__state_code_1_longest_minutes: within-person std
activity__state_code_1_longest_minutes__extra_mad,activity,physiology,activity__state_code_1_longest_minutes: within-person mad
activity__state_code_1_longest_minutes__extra_cv,activity,physiology,activity__state_code_1_longest_minutes: within-person cv
activity__state_code_1_longest_minutes__extra_weekend_delta,activity,physiology,activity__state_code_1_longest_minutes: within-person weekend_delta
activity__state_code_2_fraction__extra_mean,activity,physiology,activity__state_code_2_fraction: within-person mean
activity__state_code_2_fraction__extra_std,activity,physiology,activity__state_code_2_fraction: within-person std
activity__state_code_2_fraction__extra_mad,activity,physiology,activity__state_code_2_fraction: within-person mad
activity__state_code_2_fraction__extra_cv,activity,physiology,activity__state_code_2_fraction: within-person cv
activity__state_code_2_fraction__extra_weekend_delta,activity,physiology,activity__state_code_2_fraction: within-person weekend_delta
activity__state_code_2_longest_minutes__extra_mean,activity,physiology,activity__state_code_2_longest_minutes: within-person mean
activity__state_code_2_longest_minutes__extra_std,activity,physiology,activity__state_code_2_longest_minutes: within-person std
activity__state_code_2_longest_minutes__extra_mad,activity,physiology,activity__state_code_2_longest_minutes: within-person mad
activity__state_code_2_longest_minutes__extra_cv,activity,physiology,activity__state_code_2_longest_minutes: within-person cv
activity__state_code_2_longest_minutes__extra_weekend_delta,activity,physiology,activity__state_code_2_longest_minutes: within-person weekend_delta
activity__state_code_3_fraction__extra_mean,activity,physiology,activity__state_code_3_fraction: within-person mean
activity__state_code_3_fraction__extra_std,activity,physiology,activity__state_code_3_fraction: within-person std
activity__state_code_3_fraction__extra_mad,activity,physiology,activity__state_code_3_fraction: within-person mad
activity__state_code_3_fraction__extra_cv,activity,physiology,activity__state_code_3_fraction: within-person cv
activity__state_code_3_fraction__extra_weekend_delta,activity,physiology,activity__state_code_3_fraction: within-person weekend_delta
activity__state_code_3_longest_minutes__extra_mean,activity,physiology,activity__state_code_3_longest_minutes: within-person mean
activity__state_code_3_longest_minutes__extra_std,activity,physiology,activity__state_code_3_longest_minutes: within-person std
activity__state_code_3_longest_minutes__extra_mad,activity,physiology,activity__state_code_3_longest_minutes: within-person mad
activity__state_code_3_longest_minutes__extra_cv,activity,physiology,activity__state_code_3_longest_minutes: within-person cv
activity__state_code_3_longest_minutes__extra_weekend_delta,activity,physiology,activity__state_code_3_longest_minutes: within-person weekend_delta
activity__state_code_4_fraction__extra_mean,activity,physiology,activity__state_code_4_fraction: within-person mean
activity__state_code_4_fraction__extra_std,activity,physiology,activity__state_code_4_fraction: within-person std
activity__state_code_4_fraction__extra_mad,activity,physiology,activity__state_code_4_fraction: within-person mad
activity__state_code_4_fraction__extra_cv,activity,physiology,activity__state_code_4_fraction: within-person cv
activity__state_code_4_fraction__extra_weekend_delta,activity,physiology,activity__state_code_4_fraction: within-person weekend_delta
activity__state_code_4_longest_minutes__extra_mean,activity,physiology,activity__state_code_4_longest_minutes: within-person mean
activity__state_code_4_longest_minutes__extra_std,activity,physiology,activity__state_code_4_longest_minutes: within-person std
activity__state_code_4_longest_minutes__extra_mad,activity,physiology,activity__state_code_4_longest_minutes: within-person mad
activity__state_code_4_longest_minutes__extra_cv,activity,physiology,activity__state_code_4_longest_minutes: within-person cv
activity__state_code_4_longest_minutes__extra_weekend_delta,activity,physiology,activity__state_code_4_longest_minutes: within-person weekend_delta
activity__state_code_5_fraction__extra_mean,activity,physiology,activity__state_code_5_fraction: within-person mean
activity__state_code_5_fraction__extra_std,activity,physiology,activity__state_code_5_fraction: within-person std
activity__state_code_5_fraction__extra_mad,activity,physiology,activity__state_code_5_fraction: within-person mad
activity__state_code_5_fraction__extra_cv,activity,physiology,activity__state_code_5_fraction: within-person cv
activity__state_code_5_fraction__extra_weekend_delta,activity,physiology,activity__state_code_5_fraction: within-person weekend_delta
activity__state_code_5_longest_minutes__extra_mean,activity,physiology,activity__state_code_5_longest_minutes: within-person mean
activity__state_code_5_longest_minutes__extra_std,activity,physiology,activity__state_code_5_longest_minutes: within-person std
activity__state_code_5_longest_minutes__extra_mad,activity,physiology,activity__state_code_5_longest_minutes: within-person mad
activity__state_code_5_longest_minutes__extra_cv,activity,physiology,activity__state_code_5_longest_minutes: within-person cv
activity__state_code_5_longest_minutes__extra_weekend_delta,activity,physiology,activity__state_code_5_longest_minutes: within-person weekend_delta
activity__state_entropy__extra_mean,activity,physiology,activity__state_entropy: within-person mean
activity__state_entropy__extra_std,activity,physiology,activity__state_entropy: within-person std
activity__state_entropy__extra_mad,activity,physiology,activity__state_entropy: within-person mad
activity__state_entropy__extra_cv,activity,physiology,activity__state_entropy: within-person cv
activity__state_entropy__extra_weekend_delta,activity,physiology,activity__state_entropy: within-person weekend_delta
activity__state_transition_rate__extra_mean,activity,physiology,activity__state_transition_rate: within-person mean
activity__state_transition_rate__extra_std,activity,physiology,activity__state_transition_rate: within-person std
activity__state_transition_rate__extra_mad,activity,physiology,activity__state_transition_rate: within-person mad
activity__state_transition_rate__extra_cv,activity,physiology,activity__state_transition_rate: within-person cv
activity__state_transition_rate__extra_weekend_delta,activity,physiology,activity__state_transition_rate: within-person weekend_delta
activity__state_valid_fraction__extra_mean,activity,quality,activity__state_valid_fraction: within-person mean
activity__state_valid_fraction__extra_std,activity,quality,activity__state_valid_fraction: within-person std
activity__state_valid_fraction__extra_mad,activity,quality,activity__state_valid_fraction: within-person mad
activity__state_valid_fraction__extra_cv,activity,quality,activity__state_valid_fraction: within-person cv
activity__state_valid_fraction__extra_weekend_delta,activity,quality,activity__state_valid_fraction: within-person weekend_delta
activity__state_length__extra_mean,activity,quality,activity__state_length: within-person mean
activity__state_length__extra_std,activity,quality,activity__state_length: within-person std
activity__state_length__extra_mad,activity,quality,activity__state_length: within-person mad
activity__state_length__extra_cv,activity,quality,activity__state_length: within-person cv
activity__state_length__extra_weekend_delta,activity,quality,activity__state_length: within-person weekend_delta
activity__met_mean__extra_mean,activity,physiology,activity__met_mean: within-person mean
activity__met_mean__extra_std,activity,physiology,activity__met_mean: within-person std
activity__met_mean__extra_mad,activity,physiology,activity__met_mean: within-person mad
activity__met_mean__extra_cv,activity,physiology,activity__met_mean: within-person cv
activity__met_mean__extra_weekend_delta,activity,physiology,activity__met_mean: within-person weekend_delta
activity__met_std__extra_mean,activity,physiology,activity__met_std: within-person mean
activity__met_std__extra_std,activity,physiology,activity__met_std: within-person std
activity__met_std__extra_mad,activity,physiology,activity__met_std: within-person mad
activity__met_std__extra_cv,activity,physiology,activity__met_std: within-person cv
activity__met_std__extra_weekend_delta,activity,physiology,activity__met_std: within-person weekend_delta
activity__met_p10__extra_mean,activity,physiology,activity__met_p10: within-person mean
activity__met_p10__extra_std,activity,physiology,activity__met_p10: within-person std
activity__met_p10__extra_mad,activity,physiology,activity__met_p10: within-person mad
activity__met_p10__extra_cv,activity,physiology,activity__met_p10: within-person cv
activity__met_p10__extra_weekend_delta,activity,physiology,activity__met_p10: within-person weekend_delta
activity__met_p90__extra_mean,activity,physiology,activity__met_p90: within-person mean
activity__met_p90__extra_std,activity,physiology,activity__met_p90: within-person std
activity__met_p90__extra_mad,activity,physiology,activity__met_p90: within-person mad
activity__met_p90__extra_cv,activity,physiology,activity__met_p90: within-person cv
activity__met_p90__extra_weekend_delta,activity,physiology,activity__met_p90: within-person weekend_delta
activity__met_rmssd_adjacent__extra_mean,activity,physiology,activity__met_rmssd_adjacent: within-person mean
activity__met_rmssd_adjacent__extra_std,activity,physiology,activity__met_rmssd_adjacent: within-person std
activity__met_rmssd_adjacent__extra_mad,activity,physiology,activity__met_rmssd_adjacent: within-person mad
activity__met_rmssd_adjacent__extra_cv,activity,physiology,activity__met_rmssd_adjacent: within-person cv
activity__met_rmssd_adjacent__extra_weekend_delta,activity,physiology,activity__met_rmssd_adjacent: within-person weekend_delta
activity__met_lag1__extra_mean,activity,physiology,activity__met_lag1: within-person mean
activity__met_lag1__extra_std,activity,physiology,activity__met_lag1: within-person std
activity__met_lag1__extra_mad,activity,physiology,activity__met_lag1: within-person mad
activity__met_lag1__extra_cv,activity,physiology,activity__met_lag1: within-person cv
activity__met_lag1__extra_weekend_delta,activity,physiology,activity__met_lag1: within-person weekend_delta
activity__met_last_first_third__extra_mean,activity,physiology,activity__met_last_first_third: within-person mean
activity__met_last_first_third__extra_std,activity,physiology,activity__met_last_first_third: within-person std
activity__met_last_first_third__extra_mad,activity,physiology,activity__met_last_first_third: within-person mad
activity__met_last_first_third__extra_cv,activity,physiology,activity__met_last_first_third: within-person cv
activity__met_last_first_third__extra_weekend_delta,activity,physiology,activity__met_last_first_third: within-person weekend_delta
activity__met_valid_fraction__extra_mean,activity,quality,activity__met_valid_fraction: within-person mean
activity__met_valid_fraction__extra_std,activity,quality,activity__met_valid_fraction: within-person std
activity__met_valid_fraction__extra_mad,activity,quality,activity__met_valid_fraction: within-person mad
activity__met_valid_fraction__extra_cv,activity,quality,activity__met_valid_fraction: within-person cv
activity__met_valid_fraction__extra_weekend_delta,activity,quality,activity__met_valid_fraction: within-person weekend_delta
activity__met_length__extra_mean,activity,quality,activity__met_length: within-person mean
activity__met_length__extra_std,activity,quality,activity__met_length: within-person std
activity__met_length__extra_mad,activity,quality,activity__met_length: within-person mad
activity__met_length__extra_cv,activity,quality,activity__met_length: within-person cv
activity__met_length__extra_weekend_delta,activity,quality,activity__met_length: within-person weekend_delta
activity__met_cosinor_amplitude__extra_mean,activity,physiology,activity__met_cosinor_amplitude: within-person mean
activity__met_cosinor_amplitude__extra_std,activity,physiology,activity__met_cosinor_amplitude: within-person std
activity__met_cosinor_amplitude__extra_mad,activity,physiology,activity__met_cosinor_amplitude: within-person mad
activity__met_cosinor_amplitude__extra_cv,activity,physiology,activity__met_cosinor_amplitude: within-person cv
activity__met_cosinor_amplitude__extra_weekend_delta,activity,physiology,activity__met_cosinor_amplitude: within-person weekend_delta
activity__met_cosinor_relative_amplitude__extra_mean,activity,physiology,activity__met_cosinor_relative_amplitude: within-person mean
activity__met_cosinor_relative_amplitude__extra_std,activity,physiology,activity__met_cosinor_relative_amplitude: within-person std
activity__met_cosinor_relative_amplitude__extra_mad,activity,physiology,activity__met_cosinor_relative_amplitude: within-person mad
activity__met_cosinor_relative_amplitude__extra_cv,activity,physiology,activity__met_cosinor_relative_amplitude: within-person cv
activity__met_cosinor_relative_amplitude__extra_weekend_delta,activity,physiology,activity__met_cosinor_relative_amplitude: within-person weekend_delta
activity__met_cosinor_phase_cos__extra_mean,activity,physiology,activity__met_cosinor_phase_cos: within-person mean
activity__met_cosinor_phase_cos__extra_std,activity,physiology,activity__met_cosinor_phase_cos: within-person std
activity__met_cosinor_phase_cos__extra_mad,activity,physiology,activity__met_cosinor_phase_cos: within-person mad
activity__met_cosinor_phase_cos__extra_cv,activity,physiology,activity__met_cosinor_phase_cos: within-person cv
activity__met_cosinor_phase_cos__extra_weekend_delta,activity,physiology,activity__met_cosinor_phase_cos: within-person weekend_delta
activity__met_cosinor_phase_sin__extra_mean,activity,physiology,activity__met_cosinor_phase_sin: within-person mean
activity__met_cosinor_phase_sin__extra_std,activity,physiology,activity__met_cosinor_phase_sin: within-person std
activity__met_cosinor_phase_sin__extra_mad,activity,physiology,activity__met_cosinor_phase_sin: within-person mad
activity__met_cosinor_phase_sin__extra_cv,activity,physiology,activity__met_cosinor_phase_sin: within-person cv
activity__met_cosinor_phase_sin__extra_weekend_delta,activity,physiology,activity__met_cosinor_phase_sin: within-person weekend_delta
activity__met_day_night_difference__extra_mean,activity,physiology,activity__met_day_night_difference: within-person mean
activity__met_day_night_difference__extra_std,activity,physiology,activity__met_day_night_difference: within-person std
activity__met_day_night_difference__extra_mad,activity,physiology,activity__met_day_night_difference: within-person mad
activity__met_day_night_difference__extra_cv,activity,physiology,activity__met_day_night_difference: within-person cv
activity__met_day_night_difference__extra_weekend_delta,activity,physiology,activity__met_day_night_difference: within-person weekend_delta
activity__met_relative_high10_low5__extra_mean,activity,physiology,activity__met_relative_high10_low5: within-person mean
activity__met_relative_high10_low5__extra_std,activity,physiology,activity__met_relative_high10_low5: within-person std
activity__met_relative_high10_low5__extra_mad,activity,physiology,activity__met_relative_high10_low5: within-person mad
activity__met_relative_high10_low5__extra_cv,activity,physiology,activity__met_relative_high10_low5: within-person cv
activity__met_relative_high10_low5__extra_weekend_delta,activity,physiology,activity__met_relative_high10_low5: within-person weekend_delta
activity__met_low5_met__extra_mean,activity,physiology,activity__met_low5_met: within-person mean
activity__met_low5_met__extra_std,activity,physiology,activity__met_low5_met: within-person std
activity__met_low5_met__extra_mad,activity,physiology,activity__met_low5_met: within-person mad
activity__met_low5_met__extra_cv,activity,physiology,activity__met_low5_met: within-person cv
activity__met_low5_met__extra_weekend_delta,activity,physiology,activity__met_low5_met: within-person weekend_delta
activity__met_high10_met__extra_mean,activity,physiology,activity__met_high10_met: within-person mean
activity__met_high10_met__extra_std,activity,physiology,activity__met_high10_met: within-person std
activity__met_high10_met__extra_mad,activity,physiology,activity__met_high10_met: within-person mad
activity__met_high10_met__extra_cv,activity,physiology,activity__met_high10_met: within-person cv
activity__met_high10_met__extra_weekend_delta,activity,physiology,activity__met_high10_met: within-person weekend_delta
activity__interval_minutes__extra_mean,activity,quality,activity__interval_minutes: within-person mean
