feature,modality,family,description,kind
activity__inactive_fraction__median,activity,physiology,inactive_fraction; across days median,v2
activity__inactive_fraction__iqr,activity,physiology,inactive_fraction; across days iqr,v2
activity__inactive_fraction__p10,activity,physiology,inactive_fraction; across days p10,v2
activity__inactive_fraction__p90,activity,physiology,inactive_fraction; across days p90,v2
activity__inactive_fraction__missing_fraction,activity,quality,inactive_fraction; daily missing fraction,v2
activity__quality_n_days,activity,quality,n_days,v2
activity__quality_span_days,activity,quality,span_days,v2
activity__quality_coverage,activity,quality,coverage,v2
activity__steps__day_rmssd,activity,physiology,activity__steps; day_rmssd,v2
activity__steps__trend_per_day,activity,physiology,activity__steps; trend_per_day,v2
activity__steps__consecutive_lag1,activity,physiology,activity__steps; consecutive_lag1,v2
activity__average_met__day_rmssd,activity,physiology,activity__average_met; day_rmssd,v2
activity__average_met__trend_per_day,activity,physiology,activity__average_met; trend_per_day,v2
activity__average_met__consecutive_lag1,activity,physiology,activity__average_met; consecutive_lag1,v2
activity__inactive__day_rmssd,activity,physiology,activity__inactive; day_rmssd,v2
activity__inactive__trend_per_day,activity,physiology,activity__inactive; trend_per_day,v2
activity__inactive__consecutive_lag1,activity,physiology,activity__inactive; consecutive_lag1,v2
activity__met_cosinor_amplitude__day_rmssd,activity,physiology,activity__met_cosinor_amplitude; day_rmssd,v2
activity__met_cosinor_amplitude__trend_per_day,activity,physiology,activity__met_cosinor_amplitude; trend_per_day,v2
activity__met_cosinor_amplitude__consecutive_lag1,activity,physiology,activity__met_cosinor_amplitude; consecutive_lag1,v2
activity__met_relative_high10_low5__day_rmssd,activity,physiology,activity__met_relative_high10_low5; day_rmssd,v2
activity__met_relative_high10_low5__trend_per_day,activity,physiology,activity__met_relative_high10_low5; trend_per_day,v2
activity__met_relative_high10_low5__consecutive_lag1,activity,physiology,activity__met_relative_high10_low5; consecutive_lag1,v2
activity__hourly_profile_stability,activity,physiology,분산 가중 시간대 반복성; 표준 actigraphy IS와 동일한 지표라고 주장하지 않음,v2
sleep__awake__median,sleep,physiology,sleep_awake; across days median,v2
sleep__awake__iqr,sleep,physiology,sleep_awake; across days iqr,v2
sleep__awake__p10,sleep,physiology,sleep_awake; across days p10,v2
sleep__awake__p90,sleep,physiology,sleep_awake; across days p90,v2
sleep__awake__missing_fraction,sleep,quality,sleep_awake; daily missing fraction,v2
sleep__breath_average__median,sleep,physiology,sleep_breath_average; across days median,v2
sleep__breath_average__iqr,sleep,physiology,sleep_breath_average; across days iqr,v2
sleep__breath_average__p10,sleep,physiology,sleep_breath_average; across days p10,v2
sleep__breath_average__p90,sleep,physiology,sleep_breath_average; across days p90,v2
sleep__breath_average__missing_fraction,sleep,quality,sleep_breath_average; daily missing fraction,v2
sleep__deep__median,sleep,physiology,sleep_deep; across days median,v2
sleep__deep__iqr,sleep,physiology,sleep_deep; across days iqr,v2
sleep__deep__p10,sleep,physiology,sleep_deep; across days p10,v2
sleep__deep__p90,sleep,physiology,sleep_deep; across days p90,v2
sleep__deep__missing_fraction,sleep,quality,sleep_deep; daily missing fraction,v2
sleep__duration__median,sleep,physiology,sleep_duration; across days median,v2
sleep__duration__iqr,sleep,physiology,sleep_duration; across days iqr,v2
sleep__duration__p10,sleep,physiology,sleep_duration; across days p10,v2
sleep__duration__p90,sleep,physiology,sleep_duration; across days p90,v2
sleep__duration__missing_fraction,sleep,quality,sleep_duration; daily missing fraction,v2
sleep__efficiency__median,sleep,physiology,sleep_efficiency; across days median,v2
sleep__efficiency__iqr,sleep,physiology,sleep_efficiency; across days iqr,v2
sleep__efficiency__p10,sleep,physiology,sleep_efficiency; across days p10,v2
sleep__efficiency__p90,sleep,physiology,sleep_efficiency; across days p90,v2
sleep__efficiency__missing_fraction,sleep,quality,sleep_efficiency; daily missing fraction,v2
sleep__hr_average__median,sleep,physiology,sleep_hr_average; across days median,v2
sleep__hr_average__iqr,sleep,physiology,sleep_hr_average; across days iqr,v2
sleep__hr_average__p10,sleep,physiology,sleep_hr_average; across days p10,v2
sleep__hr_average__p90,sleep,physiology,sleep_hr_average; across days p90,v2
sleep__hr_average__missing_fraction,sleep,quality,sleep_hr_average; daily missing fraction,v2
sleep__hr_lowest__median,sleep,physiology,sleep_hr_lowest; across days median,v2
sleep__hr_lowest__iqr,sleep,physiology,sleep_hr_lowest; across days iqr,v2
sleep__hr_lowest__p10,sleep,physiology,sleep_hr_lowest; across days p10,v2
sleep__hr_lowest__p90,sleep,physiology,sleep_hr_lowest; across days p90,v2
sleep__hr_lowest__missing_fraction,sleep,quality,sleep_hr_lowest; daily missing fraction,v2
sleep__light__median,sleep,physiology,sleep_light; across days median,v2
sleep__light__iqr,sleep,physiology,sleep_light; across days iqr,v2
sleep__light__p10,sleep,physiology,sleep_light; across days p10,v2
sleep__light__p90,sleep,physiology,sleep_light; across days p90,v2
sleep__light__missing_fraction,sleep,quality,sleep_light; daily missing fraction,v2
sleep__onset_latency__median,sleep,physiology,sleep_onset_latency; across days median,v2
sleep__onset_latency__iqr,sleep,physiology,sleep_onset_latency; across days iqr,v2
sleep__onset_latency__p10,sleep,physiology,sleep_onset_latency; across days p10,v2
sleep__onset_latency__p90,sleep,physiology,sleep_onset_latency; across days p90,v2
sleep__onset_latency__missing_fraction,sleep,quality,sleep_onset_latency; daily missing fraction,v2
sleep__rem__median,sleep,physiology,sleep_rem; across days median,v2
sleep__rem__iqr,sleep,physiology,sleep_rem; across days iqr,v2
sleep__rem__p10,sleep,physiology,sleep_rem; across days p10,v2
sleep__rem__p90,sleep,physiology,sleep_rem; across days p90,v2
sleep__rem__missing_fraction,sleep,quality,sleep_rem; daily missing fraction,v2
sleep__restless__median,sleep,physiology,sleep_restless; across days median,v2
sleep__restless__iqr,sleep,physiology,sleep_restless; across days iqr,v2
sleep__restless__p10,sleep,physiology,sleep_restless; across days p10,v2
sleep__restless__p90,sleep,physiology,sleep_restless; across days p90,v2
sleep__restless__missing_fraction,sleep,quality,sleep_restless; daily missing fraction,v2
sleep__rmssd__median,sleep,physiology,sleep_rmssd; across days median,v2
sleep__rmssd__iqr,sleep,physiology,sleep_rmssd; across days iqr,v2
sleep__rmssd__p10,sleep,physiology,sleep_rmssd; across days p10,v2
sleep__rmssd__p90,sleep,physiology,sleep_rmssd; across days p90,v2
sleep__rmssd__missing_fraction,sleep,quality,sleep_rmssd; daily missing fraction,v2
sleep__score__median,sleep,vendor,sleep_score; across days median,v2
sleep__score__iqr,sleep,vendor,sleep_score; across days iqr,v2
sleep__score__p10,sleep,vendor,sleep_score; across days p10,v2
sleep__score__p90,sleep,vendor,sleep_score; across days p90,v2
sleep__score__missing_fraction,sleep,quality,sleep_score; daily missing fraction,v2
sleep__score_alignment__median,sleep,vendor,sleep_score_alignment; across days median,v2
sleep__score_alignment__iqr,sleep,vendor,sleep_score_alignment; across days iqr,v2
sleep__score_alignment__p10,sleep,vendor,sleep_score_alignment; across days p10,v2
sleep__score_alignment__p90,sleep,vendor,sleep_score_alignment; across days p90,v2
sleep__score_alignment__missing_fraction,sleep,quality,sleep_score_alignment; daily missing fraction,v2
sleep__score_deep__median,sleep,vendor,sleep_score_deep; across days median,v2
sleep__score_deep__iqr,sleep,vendor,sleep_score_deep; across days iqr,v2
sleep__score_deep__p10,sleep,vendor,sleep_score_deep; across days p10,v2
sleep__score_deep__p90,sleep,vendor,sleep_score_deep; across days p90,v2
sleep__score_deep__missing_fraction,sleep,quality,sleep_score_deep; daily missing fraction,v2
sleep__score_disturbances__median,sleep,vendor,sleep_score_disturbances; across days median,v2
sleep__score_disturbances__iqr,sleep,vendor,sleep_score_disturbances; across days iqr,v2
sleep__score_disturbances__p10,sleep,vendor,sleep_score_disturbances; across days p10,v2
sleep__score_disturbances__p90,sleep,vendor,sleep_score_disturbances; across days p90,v2
sleep__score_disturbances__missing_fraction,sleep,quality,sleep_score_disturbances; daily missing fraction,v2
sleep__score_efficiency__median,sleep,vendor,sleep_score_efficiency; across days median,v2
sleep__score_efficiency__iqr,sleep,vendor,sleep_score_efficiency; across days iqr,v2
sleep__score_efficiency__p10,sleep,vendor,sleep_score_efficiency; across days p10,v2
sleep__score_efficiency__p90,sleep,vendor,sleep_score_efficiency; across days p90,v2
sleep__score_efficiency__missing_fraction,sleep,quality,sleep_score_efficiency; daily missing fraction,v2
sleep__score_latency__median,sleep,vendor,sleep_score_latency; across days median,v2
sleep__score_latency__iqr,sleep,vendor,sleep_score_latency; across days iqr,v2
sleep__score_latency__p10,sleep,vendor,sleep_score_latency; across days p10,v2
sleep__score_latency__p90,sleep,vendor,sleep_score_latency; across days p90,v2
sleep__score_latency__missing_fraction,sleep,quality,sleep_score_latency; daily missing fraction,v2
sleep__score_rem__median,sleep,vendor,sleep_score_rem; across days median,v2
sleep__score_rem__iqr,sleep,vendor,sleep_score_rem; across days iqr,v2
sleep__score_rem__p10,sleep,vendor,sleep_score_rem; across days p10,v2
sleep__score_rem__p90,sleep,vendor,sleep_score_rem; across days p90,v2
sleep__score_rem__missing_fraction,sleep,quality,sleep_score_rem; daily missing fraction,v2
sleep__score_total__median,sleep,vendor,sleep_score_total; across days median,v2
sleep__score_total__iqr,sleep,vendor,sleep_score_total; across days iqr,v2
sleep__score_total__p10,sleep,vendor,sleep_score_total; across days p10,v2
sleep__score_total__p90,sleep,vendor,sleep_score_total; across days p90,v2
sleep__score_total__missing_fraction,sleep,quality,sleep_score_total; daily missing fraction,v2
sleep__temperature_delta__median,sleep,physiology,sleep_temperature_delta; across days median,v2
sleep__temperature_delta__iqr,sleep,physiology,sleep_temperature_delta; across days iqr,v2
sleep__temperature_delta__p10,sleep,physiology,sleep_temperature_delta; across days p10,v2
sleep__temperature_delta__p90,sleep,physiology,sleep_temperature_delta; across days p90,v2
sleep__temperature_delta__missing_fraction,sleep,quality,sleep_temperature_delta; daily missing fraction,v2
sleep__temperature_deviation__median,sleep,physiology,sleep_temperature_deviation; across days median,v2
sleep__temperature_deviation__iqr,sleep,physiology,sleep_temperature_deviation; across days iqr,v2
sleep__temperature_deviation__p10,sleep,physiology,sleep_temperature_deviation; across days p10,v2
sleep__temperature_deviation__p90,sleep,physiology,sleep_temperature_deviation; across days p90,v2
sleep__temperature_deviation__missing_fraction,sleep,quality,sleep_temperature_deviation; daily missing fraction,v2
